Label,Total_Energy_kWh,Holiday
2018/3/6-22,3.84,False
2018/3/6-23,3.84,False
2018/3/7-8,4.71,False
2018/3/7-9,8.129999999999999,False
2018/3/7-10,9.940000000000001,False
2018/3/7-11,9.479999999999999,False
2018/2/24-10,2.87,False
2018/2/24-11,9.23,False
2018/2/24-12,12.450000000000001,False
2018/2/24-13,6.970000000000001,False
2018/2/24-14,6.69,False
2018/2/24-15,10.98,False
2018/2/24-16,1.47,False
2018/2/24-17,6.96,False
2018/2/24-18,12.15,False
2018/2/24-19,13.49,False
2018/2/24-20,11.520000000000001,False
2018/2/24-21,5.7700000000000005,False
2018/2/24-22,5.16,False
2018/2/24-23,2.62,False
2018/2/25-8,3.27,True
2018/2/25-9,10.620000000000001,True
2018/2/25-10,12.34,True
2018/2/25-11,9.78,True
2018/2/25-12,11.5,True
2018/2/25-13,5.550000000000001,True
2018/2/25-14,7.180000000000001,True
2018/2/25-15,2.43,True
2018/2/25-16,9.059999999999999,True
2018/2/25-17,19.270000000000003,True
2018/2/25-18,12.46,True
2018/2/25-19,18.0,True
2018/2/25-20,6.16,True
2018/2/25-21,3.44,True
2018/2/25-22,4.17,True
2018/2/25-23,4.13,True
2018/2/26-13,0.6599999999999999,False
2018/2/26-14,5.77,False
2018/2/26-15,1.8900000000000001,False
2018/2/26-16,5.340000000000001,False
2018/2/26-17,12.34,False
2018/2/26-18,16.44,False
2018/2/26-19,15.26,False
2018/2/26-20,2.02,False
2018/2/27-8,2.31,False
2018/2/27-9,8.08,False
2018/2/27-10,7.36,False
